Table Product Code,Page,Product Code,Nominal Conductor Area (mm2),Nominal Conductor Diameter (mm),Nominal Insulation Thickness (mm),Approx. Cable Diameter (mm),Approx. Mass (kg/100m),Max. Pulling Tension on Conductor (kN),Max. Pulling Tension on Stocking Grip (kN),Min. Bending Radius*: During Installation (mm),Min. Bending Radius*: Set in Position (mm),"Max. Conductor Resistance, dc at 200C (Ω/km)","Conductor Resistance, ac at 900C & 50Hz (Ω/km)","Inductance, Trefoil Touching (mH/km)","Inductive Reactance, Trefoil Touching at 50Hz (Ω/km)",Zero Seq. Impedance at 200C & 50Hz (Ω/km),"Capacitance, Phase to Earth (μF/km)",Min. Insulation Resistance at 200C (MΩ.km),Electric Stress at Conductor Screen (kV/mm),Charging Current at Rated Voltage & 50Hz (A/phase/km),Short Circuit Rating,Continuous Current Rating,Inductance (mH/km),"Inductive Reactance, at 50Hz (Ω/km)",Max. Pulling Tension on Conductors (kN),Max. Pulling Tension on Armour Wires (kN),"Inductive, Trefoil Touching (mH/km)","Inductive Reactance, (Ω/km)"
1CCUX3LD,7,1CCUX3LD,25,6.1,2.0,18.6,65,1.8,1.2,340,220,0.727,0.927,0.448,0.141,1.66+ j0.0717,0.318,"8,200",1.19,0.190,3.6,145,,,,,,
1CCUX3LD,7,,35,7.0,2.0,19.6,75,2.5,1.3,350,230,0.524,0.668,0.428,0.134,1.46+ j0.0669,0.350,"7,300",1.17,0.209,5.0,175,,,,,,
1CCUX3LD,7,,50,8.2,2.0,20.7,90,3.5,1.5,370,250,0.387,0.494,0.409,0.128,1.32+ j0.0622,0.390,"6,600",1.14,0.233,7.2,205,,,,,,
1CCUX3LD,7,,70,9.8,2.0,22.3,110,4.9,1.7,400,270,0.268,0.342,0.377,0.118,1.20+ j0.0540,0.448,"5,700",1.11,0.267,10.0,250,,,,,,
1CCUX3LD,7,,95,11.5,2.0,24.0,135,6.7,2.0,430,290,0.193,0.247,0.359,0.113,1.13+ j0.0498,0.507,"5,000",1.09,0.303,13.6,295,,,,,,
1CCUX3LD,7,,120,12.9,2.0,25.4,160,8.4,2.3,460,310,0.153,0.196,0.344,0.108,1.09+ j0.0461,0.556,"4,600",1.08,0.332,17.2,335,,,,,,
1CCUX3LD,7,,150,14.3,2.0,26.8,190,11,2.5,480,320,0.124,0.159,0.333,0.105,1.06+ j0.0438,0.605,"4,200",1.07,0.361,21.5,375,,,,,,
1CCUX3LD,7,,185,16.1,2.0,28.6,225,13,2.9,510,340,0.0991,0.128,0.322,0.101,1.03+ j0.0413,0.666,"3,800",1.06,0.398,26.5,425,,,,,,
1CCUX3LD,7,,240,18.2,2.0,31.0,280,17,3.4,560,370,0.0754,0.0983,0.312,0.0981,1.01+ j0.0388,0.742,"3,400",1.04,0.443,34.3,490,,,,,,
1CCUX3LD,7,,300,20.6,2.0,33.5,340,21,3.9,600,400,0.0601,0.0794,0.303,0.0953,0.995+ j0.0367,0.824,"3,000",1.03,0.492,42.9,550,,,,,,
1CCUX3LD,7,,400,23.5,2.0,37.2,430,25,4.8,670,450,0.0470,0.0635,0.296,0.0930,0.982+ j0.0352,0.943,"2,700",1.02,0.563,57.2,620,,,,,,
1CCUX3LD,7,,500,26.6,2.2,40.9,535,25,5.8,740,490,0.0366,0.0513,0.290,0.0911,0.973+ j0.0340,0.962,"2,600",0.929,0.574,71.5,695,,,,,,
1CCUX3LD,7,,630,30.3,2.4,45.2,675,25,7.1,810,540,0.0283,0.0419,0.285,0.0896,0.965+ j0.0331,0.994,"2,500",0.850,0.594,90.1,780,,,,,,
1CCUX3HD,8,1CCUX3HD,25,6.1,2.0,18.6,70,1.8,1.2,340,220,0.727,0.927,0.448,0.141,1.51+ j0.0717,0.318,"8,200",1.19,0.190,3.6,145,,,,,,
1CCUX3HD,8,,35,7.0,2.0,20.9,90,2.5,1.5,380,250,0.524,0.668,0.442,0.139,1.09+ j0.0696,0.350,"7,300",1.17,0.209,5.0,175,,,,,,
1CCUX3HD,8,,50,8.2,2.0,22.0,115,3.5,1.7,400,260,0.387,0.494,0.421,0.132,0.783+ j0.0647,0.390,"6,600",1.14,0.233,7.2,205,,,,,,
1CCUX3HD,8,,70,9.8,2.0,24.3,155,4.9,2.1,440,290,0.268,0.342,0.395,0.124,0.560+ j0.0575,0.448,"5,700",1.11,0.267,10.0,250,,,,,,
1CCUX3HD,8,,95,11.5,2.0,26.0,185,6.7,2.4,470,310,0.193,0.247,0.375,0.118,0.485+ j0.0530,0.507,"5,000",1.09,0.303,13.6,295,,,,,,
1CCUX3HD,8,,120,12.9,2.0,26.7,205,8.4,2.5,480,320,0.153,0.196,0.354,0.111,0.435+ j0.0530,0.556,"4,600",1.08,0.332,17.2,335,,,,,,
1CCUX3HD,8,,150,14.3,2.0,28.1,235,11,2.8,510,340,0.124,0.159,0.343,0.108,0.406+ j0.0456,0.605,"4,200",1.07,0.361,21.5,370,,,,,,
1CCUX3HD,8,,185,16.1,2.0,30.1,270,13,3.2,540,360,0.0991,0.128,0.333,0.105,0.381+ j0.0430,0.666,"3,800",1.06,0.398,26.5,415,,,,,,
1CCUX3HD,8,,240,18.2,2.0,32.3,325,17,3.6,580,390,0.0754,0.0982,0.321,0.101,0.358+ j0.0404,0.742,"3,400",1.04,0.443,34.3,475,,,,,,
1CCUX3HD,8,,300,20.6,2.0,34.8,385,21,4.2,630,420,0.0601,0.0793,0.311,0.0978,0.343+ j0.0381,0.824,"3,000",1.03,0.492,42.9,530,,,,,,
1CCUX3HD,8,,400,23.5,2.0,38.5,475,25,5.2,690,460,0.0470,0.0634,0.303,0.0953,0.330+ j0.0365,0.943,"2,700",1.02,0.563,57.2,595,,,,,,
1CCUX3HD,8,,500,26.6,2.2,42.2,580,25,6.2,760,510,0.0366,0.0511,0.297,0.0932,0.320+ j0.0351,0.962,"2,600",0.929,0.574,71.5,660,,,,,,
1CCUX3HD,8,,630,30.3,2.4,46.5,720,25,7.6,840,560,0.0283,0.0417,0.291,0.0914,0.312+ j0.0342,0.994,"2,500",0.850,0.594,90.1,735,,,,,,
3CCUX3LD,9,3CCUX3LD,25,6.1,2.0,36.0,160,5.3,4.5,650,430,0.727,0.927,,,3.46+ j0.0720,0.319,"8,200",1.19,0.190,3.6,140,0.380,0.119,,,,
3CCUX3LD,9,,35,7.0,2.0,38.2,195,7.4,5.1,690,460,0.524,0.668,,,3.26+ j0.0671,0.352,"7,300",1.17,0.210,5.0,165,0.364,0.114,,,,
3CCUX3LD,9,,50,8.2,2.0,40.8,235,11,5.8,730,490,0.387,0.494,,,3.12+ j0.0624,0.391,"6,600",1.14,0.234,7.2,195,0.348,0.109,,,,
3CCUX3LD,9,,70,9.8,2.0,44.6,305,15,7.0,800,540,0.268,0.342,,,3.00+ j0.0542,0.449,"5,700",1.11,0.268,10.0,235,0.321,0.101,,,,
3CCUX3LD,9,,95,11.5,2.0,48.6,390,20,8.3,880,580,0.193,0.247,,,2.93+ j0.0499,0.509,"5,000",1.09,0.304,13.6,285,0.307,0.0964,,,,
3CCUX3LD,9,,120,12.9,2.0,51.9,475,25,9.4,930,620,0.153,0.196,,,2.68+ j0.0463,0.558,"4,600",1.08,0.333,17.2,330,0.295,0.0926,,,,
3CCUX3LD,9,,150,14.3,2.0,55.1,560,25,11,990,660,0.124,0.160,,,2.47+ j0.0440,0.607,"4,200",1.07,0.362,21.5,365,0.287,0.0900,,,,
3CCUX3LD,9,,185,16.1,2.0,59.1,675,25,12,1060,710,0.0991,0.128,,,2.29+ j0.0415,0.668,"3,800",1.06,0.399,26.5,410,0.278,0.0874,,,,
3CCUX3LD,9,,240,18.2,2.0,64.2,855,25,14,1160,770,0.0754,0.0987,,,2.13+ j0.0390,0.745,"3,400",1.04,0.445,34.3,475,0.270,0.0847,,,,
3CCUX3LD,9,,300,20.6,2.0,69.5,1050,25,17,1250,830,0.0601,0.0800,,,1.88+ j0.0368,0.827,"3,000",1.03,0.494,42.9,530,0.262,0.0824,,,,
3CALX6LDA,10,3CALX6LDA,25,6.1,2.0,43.0,320,,5.3,770,520,0.727,0.927,,,3.46+ j0.0720,0.319,"8,200",1.19,0.190,3.6,140,0.380,0.119,5.3,7.5,,
3CALX6LDA,10,,35,7.0,2.0,45.2,365,,7.2,810,540,0.524,0.668,,,3.26+ j0.0671,0.352,"7,300",1.17,0.210,5.0,165,0.364,0.114,7.4,8.3,,
3CALX6LDA,10,,50,8.2,2.0,49.7,460,,8.6,890,600,0.387,0.494,,,3.12+ j0.0624,0.391,"6,600",1.14,0.234,7.2,195,0.348,0.109,11,9.8,,
3CALX6LDA,10,,70,9.8,2.0,53.4,550,,10.0,960,640,0.268,0.342,,,3.00+ j0.0542,0.449,"5,700",1.11,0.268,10.0,235,0.321,0.101,15,11,,
3CALX6LDA,10,,95,11.5,2.0,57.5,660,,12,1040,690,0.193,0.247,,,2.93+ j0.0499,0.509,"5,000",1.09,0.304,13.6,285,0.307,0.0964,20,13,,
3CALX6LDA,10,,120,12.9,2.0,61.0,765,,13,1100,730,0.153,0.196,,,2.68+ j0.0463,0.558,"4,600",1.08,0.333,17.2,330,0.295,0.0926,25,15,,
3CALX6LDA,10,,150,14.3,2.0,64.2,870,,14,1160,770,0.124,0.160,,,2.47+ j0.0440,0.607,"4,200",1.07,0.362,21.5,365,0.287,0.0900,25,17,,
3CALX6LDA,10,,185,16.1,2.0,68.4,1010,,16,1230,820,0.0991,0.128,,,2.29+ j0.0415,0.668,"3,800",1.06,0.399,26.5,410,0.278,0.0874,25,19,,
3CALX6LDA,10,,240,18.2,2.0,73.7,1220,,19,1330,880,0.0754,0.0987,,,2.13+ j0.0390,0.745,"3,400",1.04,0.445,34.3,475,0.270,0.0847,25,22,,
